unique_identifier,timestamp,price
ZEC-AUD,1557151298492380,7056
BTC-AUD,1557151298569380,546776
LTC-AUD,1557151298565381,7928
BTC-AUD,1557151298680394,546771
ETH-AUD,1557151298680401,18656
LTC-AUD,1557151298810385,7904
LTC-AUD,1557151298811382,7904
ETH-AUD,1557151298815381,18656
ETH-AUD,1557151298815382,18656
ETH-AUD,1557151298815381,18656
BTC-AUD,1557151298904382,546771
BTC-AUD,1557151298904382,546771
ETH-AUD,1557151298946386,18692
BTC-AUD,1557151299119384,546776
BTC-AUD,1557151299119385,546776
ETH-AUD,1557151299178383,18692
ETH-AUD,1557151299178383,18692
ZEC-AUD,1557151299181394,7040
ZEC-AUD,1557151299265384,7040
ZEC-AUD,1557151299265384,7040
LTC-AUD,1557151299683387,7881
LTC-AUD,1557151299781386,7881
LTC-AUD,1557151299781387,7881
LTC-AUD,1557151299781388,7881
ZEC-AUD,1557151300968392,6855
ZEC-AUD,1557151300972409,6840
ZEC-AUD,1557151301207402,7048
BTC-AUD,1557151301207408,549519
ZEC-AUD,1557151301226391,6840
ZEC-AUD,1557151301440392,7048
ZEC-AUD,1557151301440393,7048
ZEC-AUD,1557151301440394,7048
ZEC-AUD,1557151301440395,7048
BTC-AUD,1557151301446392,549519
BTC-AUD,1557151301446392,549519
BTC-AUD,1557151301473401,545673
ETH-AUD,1557151301473412,18747
ETH-AUD,1557151301585392,18747
ETH-AUD,1557151301585392,18747
BTC-AUD,1557151301593392,545673
BTC-AUD,1557151301593392,545673
BTC-AUD,1557151301709394,549518
BTC-AUD,1557151301817395,549518
BTC-AUD,1557151301817395,549518
LTC-AUD,1557151301975396,7943
LTC-AUD,1557151301975404,7942
BTC-AUD,1557151301975411,545137
LTC-AUD,1557151301975412,7935
BTC-AUD,1557151302073396,545669
BTC-AUD,1557151302099394,545137
BTC-AUD,1557151302099395,545669
BTC-AUD,1557151302099395,545137
LTC-AUD,1557151302123395,7943
LTC-AUD,1557151302123395,7943
LTC-AUD,1557151302123395,7942
LTC-AUD,1557151302123395,7935
ZEC-AUD,1557151302210398,7055
ETH-AUD,1557151302210407,18652
ETH-AUD,1557151302210415,18653
ETH-AUD,1557151302283395,18652
ETH-AUD,1557151302283395,18652
ETH-AUD,1557151302283395,18653
ETH-AUD,1557151302283396,18653
ETH-AUD,1557151302283395,18653
ZEC-AUD,1557151302327395,7055
ZEC-AUD,1557151302327395,7055
ETH-AUD,1557151302476416,18753
ETH-AUD,1557151302880399,18753
ETH-AUD,1557151302880400,18753
ETH-AUD,1557151302880401,18753
LTC-AUD,1557151302978412,7958
LTC-AUD,1557151303056398,7958
ETH-AUD,1557151303340400,18753
BTC-AUD,1557151303482417,546782
BTC-AUD,1557151303747401,546782
ZEC-AUD,1557151303959404,7050
LTC-AUD,1557151304224405,7850
ZEC-AUD,1557151304224406,7050
LTC-AUD,1557151304224409,7845
ZEC-AUD,1557151304224414,7059
ZEC-AUD,1557151304360403,7050
ZEC-AUD,1557151304360404,7050
ZEC-AUD,1557151304360404,7050
ZEC-AUD,1557151304360404,7059
ZEC-AUD,1557151304360405,7050
ZEC-AUD,1557151304360405,7059
ZEC-AUD,1557151304360406,7059
ZEC-AUD,1557151304360407,7059
ZEC-AUD,1557151304360408,7059
LTC-AUD,1557151304373403,7850
LTC-AUD,1557151304373404,7850
LTC-AUD,1557151304373405,7850
LTC-AUD,1557151304373405,7845
LTC-AUD,1557151304373406,7845
LTC-AUD,1557151304373407,7845
LTC-AUD,1557151304512414,7962
LTC-AUD,1557151304623409,7962
BTC-AUD,1557151304726406,550056
BTC-AUD,1557151304786405,550056
BTC-AUD,1557151305013411,547317
ZEC-AUD,1557151305013421,6836
BTC-AUD,1557151305116406,547317
BTC-AUD,1557151305116407,547317
BTC-AUD,1557151305116408,547317
ZEC-AUD,1557151305135407,6836
ZEC-AUD,1557151305135408,6836
ETH-AUD,1557151305227415,18654
ETH-AUD,1557151305286407,18654
LTC-AUD,1557152247879124,7220
BTC-AUD,1557152247884123,566207
BTC-AUD,1557152247884124,566207
BTC-AUD,1557152247884123,566207
LTC-AUD,1557152248040125,7220
BTC-AUD,1557152248322130,565634
BTC-AUD,1557152248411129,565634
BTC-AUD,1557152248411130,565634
BTC-AUD,1557152248411131,565634
BTC-AUD,1557152248411132,565634
LTC-AUD,1557152249326131,7218
ZEC-AUD,1557151305517415,6822
ETH-AUD,1557151305858411,18654
BTC-AUD,1557151306023419,546758
ETH-AUD,1557151306023426,18796
ETH-AUD,1557151306023430,18791
BTC-AUD,1557151306232412,548959
ETH-AUD,1557151306232415,18638
LTC-AUD,1557152249326135,7205
LTC-AUD,1557152249403132,7218
LTC-AUD,1557152249403132,7205
BTC-AUD,1557151771172247,558372
ETH-AUD,1557151771372262,18653
BTC-AUD,1557151771421247,558372
BTC-AUD,1557151771421247,558372
ETH-AUD,1557151771465247,18653
ETH-AUD,1557151771465248,18653
LTC-AUD,1557151771673250,7407
ZEC-AUD,1557151771673251,6446
BTC-AUD,1557151771673265,557801
ZEC-AUD,1557151771756248,6446
ZEC-AUD,1557151771756248,6446
LTC-AUD,1557151771763248,7407
LTC-AUD,1557151771763248,7407
BTC-AUD,1557151771761248,557801
BTC-AUD,1557151771877249,563941
BTC-AUD,1557151771975249,563941
BTC-AUD,1557151772176267,558368
LTC-AUD,1557151772176268,7434
ETH-AUD,1557151772176270,18017
ZEC-AUD,1557151772377257,6791
LTC-AUD,1557151772377268,7693
BTC-AUD,1557151772420251,558368
BTC-AUD,1557151772420252,558368
LTC-AUD,1557151772442251,7434
LTC-AUD,1557151772442252,7434
LTC-AUD,1557151772442253,7434
ETH-AUD,1557151772441251,18017
ETH-AUD,1557151772441252,18017
ETH-AUD,1557151772441253,18017
ETH-AUD,1557151772441254,18017
ETH-AUD,1557151772441255,18017
ZEC-AUD,1557151772558254,6791
ZEC-AUD,1557151772558254,6791
LTC-AUD,1557151772562253,7693
LTC-AUD,1557151772562253,7693
BTC-AUD,1557151772572253,563941
ETH-AUD,1557151772677272,18005
ETH-AUD,1557151772764252,18005
ETH-AUD,1557151772764252,18005
ETH-AUD,1557151772764254,18104
ETH-AUD,1557151772772253,18104
LTC-AUD,1557151772882270,7723
LTC-AUD,1557151773011253,7723
LTC-AUD,1557151773892270,7710
LTC-AUD,1557151774128257,7710
LTC-AUD,1557151774128257,7710
ZEC-AUD,1557151774180260,6438
ZEC-AUD,1557151774297258,6438
LTC-AUD,1557151774397260,7703
ZEC-AUD,1557151774397269,6763
ETH-AUD,1557151774397278,18620
ZEC-AUD,1557151774680270,6451
LTC-AUD,1557151774680273,7442
ZEC-AUD,1557151774742260,6763
ZEC-AUD,1557151774742260,6763
LTC-AUD,1557151774749260,7703
LTC-AUD,1557151774749260,7703
ETH-AUD,1557151774758261,18620
ETH-AUD,1557151774773261,18620
ZEC-AUD,1557151774813260,6451
ZEC-AUD,1557151774813261,6451
ZEC-AUD,1557151774813262,6451
ZEC-AUD,1557151774813263,6451
ZEC-AUD,1557151774813264,6451
LTC-AUD,1557151774826260,7442
LTC-AUD,1557151774826261,7442
LTC-AUD,1557151774826262,7442
BTC-AUD,1557151774898277,564498
ETH-AUD,1557151774898280,18645
ETH-AUD,1557151774952262,18645
ETH-AUD,1557151774952263,18645
ETH-AUD,1557151774952264,18645
ETH-AUD,1557151774952262,18645
BTC-AUD,1557151774971264,563941
BTC-AUD,1557151774971265,564498
BTC-AUD,1557151774971265,564498
LTC-AUD,1557151775184267,7422
BTC-AUD,1557151775184274,560031
BTC-AUD,1557151775278262,560031
LTC-AUD,1557151775283262,7422
LTC-AUD,1557151775283262,7422
BTC-AUD,1557151775399275,563933
BTC-AUD,1557151775399279,563939
ZEC-AUD,1557151775399281,6785
ETH-AUD,1557151775399282,18641
ETH-AUD,1557151775451262,18641
ZEC-AUD,1557151775455264,6785
BTC-AUD,1557151775477263,563933
BTC-AUD,1557151775477263,563939
BTC-AUD,1557151775477263,563939
ETH-AUD,1557151775685283,18050
BTC-AUD,1557151775998271,564292
ETH-AUD,1557151776023266,18641
ETH-AUD,1557151776023267,18641
ZEC-AUD,1557151776402269,6775
ZEC-AUD,1557151776526267,6775
ZEC-AUD,1557151776526268,6775
